BackgroundIntensity;speed
0;{}
0.01;{}
0.0445;{{545, 0.07113039970391984}, {590, 0.0889129996298998}, {630, 0.0889129996298998}, {670, 0.0889129996298998}, {715, 0.07113039970391984}, {760, 0.0889129996298998}, {800, 0.0889129996298998}, {840, 0.0889129996298998}, {880, 0.0889129996298998}, {920, 0.0889129996298998}, {960, 0.0889129996298998}, {1000, 0.0889129996298998}, {1040, 0.0889129996298998}, {1080, 0.0889129996298998}, {1120, 0.0889129996298998}, {1160, 0.0889129996298998}, {1200, 0.0889129996298998}, {1235, 0.11855066617319973}, {1270, 0.0889129996298998}, {1310, 0.0889129996298998}, {1350, 0.0889129996298998}, {1390, 0.0889129996298998}, {1425, 0.11855066617319973}, {1460, 0.0889129996298998}, {1500, 0.0889129996298998}, {1540, 0.0889129996298998}, {1575, 0.11855066617319973}, {1610, 0.0889129996298998}, {1650, 0.0889129996298998}, {1690, 0.0889129996298998}, {1730, 0.0889129996298998}, {1770, 0.0889129996298998}, {1810, 0.0889129996298998}, {1850, 0.0889129996298998}, {1890, 0.0889129996298998}, {1930, 0.0889129996298998}, {1970, 0.0889129996298998}, {2010, 0.0889129996298998}, {2050, 0.0889129996298998}, {2090, 0.0889129996298998}, {2130, 0.0889129996298998}, {2175, 0.07113039970391984}, {2220, 0.0889129996298998}, {2265, 0.07113039970391984}, {2310, 0.0889129996298998}, {2355, 0.07113039970391984}, {2400, 0.0889129996298998}, {2445, 0.07113039970391984}, {2495, 0.07113039970391984}, {2545, 0.07113039970391984}, {2595, 0.07113039970391984}, {2645, 0.07113039970391984}, {2695, 0.07113039970391984}, {2750, 0.059275333086599866}, {2805, 0.07113039970391984}, {2860, 0.059275333086599866}, {2920, 0.059275333086599866}, {2980, 0.059275333086599866}, {3050, 0.0444564998149499}, {3130, 0.0444564998149499}, {3220, 0.03556519985195992}}
0.045;{{540, 0.0889129996298998}, {585, 0.07113039970391984}, {630, 0.0889129996298998}, {670, 0.0889129996298998}, {710, 0.0889129996298998}, {755, 0.07113039970391984}, {800, 0.0889129996298998}, {840, 0.0889129996298998}, {880, 0.0889129996298998}, {920, 0.0889129996298998}, {960, 0.0889129996298998}, {1000, 0.0889129996298998}, {1040, 0.0889129996298998}, {1080, 0.0889129996298998}, {1115, 0.11855066617319973}, {1150, 0.0889129996298998}, {1190, 0.0889129996298998}, {1230, 0.0889129996298998}, {1270, 0.0889129996298998}, {1305, 0.11855066617319973}, {1340, 0.0889129996298998}, {1380, 0.0889129996298998}, {1420, 0.0889129996298998}, {1455, 0.11855066617319973}, {1490, 0.0889129996298998}, {1530, 0.0889129996298998}, {1570, 0.0889129996298998}, {1605, 0.11855066617319973}, {1640, 0.0889129996298998}, {1680, 0.0889129996298998}, {1720, 0.0889129996298998}, {1760, 0.0889129996298998}, {1800, 0.0889129996298998}, {1840, 0.0889129996298998}, {1880, 0.0889129996298998}, {1920, 0.0889129996298998}, {1960, 0.0889129996298998}, {2000, 0.0889129996298998}, {2040, 0.0889129996298998}, {2080, 0.0889129996298998}, {2120, 0.0889129996298998}, {2160, 0.0889129996298998}, {2205, 0.07113039970391984}, {2250, 0.0889129996298998}, {2290, 0.0889129996298998}, {2335, 0.07113039970391984}, {2385, 0.07113039970391984}, {2430, 0.0889129996298998}, {2475, 0.07113039970391984}, {2525, 0.07113039970391984}, {2575, 0.07113039970391984}, {2625, 0.07113039970391984}, {2675, 0.07113039970391984}, {2725, 0.07113039970391984}, {2780, 0.059275333086599866}, {2835, 0.07113039970391984}, {2890, 0.059275333086599866}, {2950, 0.059275333086599866}, {3015, 0.05080742835994275}, {3090, 0.0444564998149499}, {3170, 0.0444564998149499}, {3275, 0.02735784603996917}}
0.0455;{{540, 0.0889129996298998}, {585, 0.07113039970391984}, {630, 0.0889129996298998}, {670, 0.0889129996298998}, {710, 0.0889129996298998}, {750, 0.0889129996298998}, {795, 0.07113039970391984}, {840, 0.0889129996298998}, {880, 0.0889129996298998}, {920, 0.0889129996298998}, {960, 0.0889129996298998}, {995, 0.11855066617319973}, {1030, 0.0889129996298998}, {1070, 0.0889129996298998}, {1110, 0.0889129996298998}, {1150, 0.0889129996298998}, {1185, 0.11855066617319973}, {1220, 0.0889129996298998}, {1260, 0.0889129996298998}, {1300, 0.0889129996298998}, {1335, 0.11855066617319973}, {1370, 0.0889129996298998}, {1410, 0.0889129996298998}, {1450, 0.0889129996298998}, {1485, 0.11855066617319973}, {1520, 0.0889129996298998}, {1560, 0.0889129996298998}, {1600, 0.0889129996298998}, {1635, 0.11855066617319973}, {1670, 0.0889129996298998}, {1710, 0.0889129996298998}, {1750, 0.0889129996298998}, {1790, 0.0889129996298998}, {1830, 0.0889129996298998}, {1870, 0.0889129996298998}, {1910, 0.0889129996298998}, {1950, 0.0889129996298998}, {1990, 0.0889129996298998}, {2030, 0.0889129996298998}, {2070, 0.0889129996298998}, {2110, 0.0889129996298998}, {2150, 0.0889129996298998}, {2195, 0.07113039970391984}, {2240, 0.0889129996298998}, {2280, 0.0889129996298998}, {2325, 0.07113039970391984}, {2370, 0.0889129996298998}, {2415, 0.07113039970391984}, {2465, 0.07113039970391984}, {2510, 0.0889129996298998}, {2555, 0.07113039970391984}, {2605, 0.07113039970391984}, {2655, 0.07113039970391984}, {2705, 0.07113039970391984}, {2760, 0.059275333086599866}, {2815, 0.07113039970391984}, {2870, 0.059275333086599866}, {2930, 0.059275333086599866}, {2990, 0.059275333086599866}, {3055, 0.05080742835994275}, {3130, 0.0444564998149499}, {3220, 0.03556519985195992}, {3350, 0.02222824990747495}}
0.046;{{540, 0.0889129996298998}, {580, 0.0889129996298998}, {625, 0.07113039970391984}, {670, 0.0889129996298998}, {710, 0.0889129996298998}, {750, 0.0889129996298998}, {790, 0.0889129996298998}, {830, 0.0889129996298998}, {870, 0.0889129996298998}, {910, 0.0889129996298998}, {950, 0.0889129996298998}, {990, 0.0889129996298998}, {1030, 0.0889129996298998}, {1065, 0.11855066617319973}, {1100, 0.0889129996298998}, {1140, 0.0889129996298998}, {1180, 0.0889129996298998}, {1215, 0.11855066617319973}, {1250, 0.0889129996298998}, {1290, 0.0889129996298998}, {1325, 0.11855066617319973}, {1360, 0.0889129996298998}, {1400, 0.0889129996298998}, {1435, 0.11855066617319973}, {1470, 0.0889129996298998}, {1510, 0.0889129996298998}, {1545, 0.11855066617319973}, {1580, 0.0889129996298998}, {1620, 0.0889129996298998}, {1660, 0.0889129996298998}, {1695, 0.11855066617319973}, {1730, 0.0889129996298998}, {1770, 0.0889129996298998}, {1810, 0.0889129996298998}, {1850, 0.0889129996298998}, {1890, 0.0889129996298998}, {1925, 0.11855066617319973}, {1960, 0.0889129996298998}, {2000, 0.0889129996298998}, {2045, 0.07113039970391984}, {2090, 0.0889129996298998}, {2130, 0.0889129996298998}, {2170, 0.0889129996298998}, {2210, 0.0889129996298998}, {2255, 0.07113039970391984}, {2300, 0.0889129996298998}, {2340, 0.0889129996298998}, {2385, 0.07113039970391984}, {2435, 0.07113039970391984}, {2480, 0.0889129996298998}, {2525, 0.07113039970391984}, {2575, 0.07113039970391984}, {2625, 0.07113039970391984}, {2675, 0.07113039970391984}, {2725, 0.07113039970391984}, {2780, 0.059275333086599866}, {2835, 0.07113039970391984}, {2890, 0.059275333086599866}, {2950, 0.059275333086599866}, {3010, 0.059275333086599866}, {3075, 0.05080742835994275}, {3150, 0.0444564998149499}, {3240, 0.03556519985195992}, {3380, 0.019758444362199958}}
0.0465;{{540, 0.0889129996298998}, {580, 0.0889129996298998}, {620, 0.0889129996298998}, {660, 0.0889129996298998}, {705, 0.07113039970391984}, {750, 0.0889129996298998}, {790, 0.0889129996298998}, {830, 0.0889129996298998}, {870, 0.0889129996298998}, {910, 0.0889129996298998}, {945, 0.11855066617319973}, {980, 0.0889129996298998}, {1020, 0.0889129996298998}, {1060, 0.0889129996298998}, {1095, 0.11855066617319973}, {1130, 0.0889129996298998}, {1170, 0.0889129996298998}, {1205, 0.11855066617319973}, {1240, 0.0889129996298998}, {1280, 0.0889129996298998}, {1315, 0.11855066617319973}, {1350, 0.0889129996298998}, {1390, 0.0889129996298998}, {1425, 0.11855066617319973}, {1460, 0.0889129996298998}, {1500, 0.0889129996298998}, {1535, 0.11855066617319973}, {1570, 0.0889129996298998}, {1610, 0.0889129996298998}, {1650, 0.0889129996298998}, {1685, 0.11855066617319973}, {1720, 0.0889129996298998}, {1760, 0.0889129996298998}, {1800, 0.0889129996298998}, {1840, 0.0889129996298998}, {1875, 0.11855066617319973}, {1910, 0.0889129996298998}, {1950, 0.0889129996298998}, {1990, 0.0889129996298998}, {2030, 0.0889129996298998}, {2070, 0.0889129996298998}, {2115, 0.07113039970391984}, {2160, 0.0889129996298998}, {2200, 0.0889129996298998}, {2240, 0.0889129996298998}, {2285, 0.07113039970391984}, {2330, 0.0889129996298998}, {2370, 0.0889129996298998}, {2415, 0.07113039970391984}, {2465, 0.07113039970391984}, {2510, 0.0889129996298998}, {2555, 0.07113039970391984}, {2605, 0.07113039970391984}, {2655, 0.07113039970391984}, {2705, 0.07113039970391984}, {2755, 0.07113039970391984}, {2810, 0.059275333086599866}, {2870, 0.059275333086599866}, {2930, 0.059275333086599866}, {2990, 0.059275333086599866}, {3050, 0.059275333086599866}, {3120, 0.0444564998149499}, {3200, 0.0444564998149499}, {3290, 0.03556519985195992}}
0.047;{{540, 0.0889129996298998}, {580, 0.0889129996298998}, {620, 0.0889129996298998}, {660, 0.0889129996298998}, {700, 0.0889129996298998}, {740, 0.0889129996298998}, {780, 0.0889129996298998}, {820, 0.0889129996298998}, {860, 0.0889129996298998}, {900, 0.0889129996298998}, {940, 0.0889129996298998}, {980, 0.0889129996298998}, {1020, 0.0889129996298998}, {1055, 0.11855066617319973}, {1090, 0.0889129996298998}, {1130, 0.0889129996298998}, {1165, 0.11855066617319973}, {1200, 0.0889129996298998}, {1240, 0.0889129996298998}, {1275, 0.11855066617319973}, {1310, 0.0889129996298998}, {1345, 0.11855066617319973}, {1380, 0.0889129996298998}, {1420, 0.0889129996298998}, {1455, 0.11855066617319973}, {1490, 0.0889129996298998}, {1525, 0.11855066617319973}, {1560, 0.0889129996298998}, {1600, 0.0889129996298998}, {1635, 0.11855066617319973}, {1670, 0.0889129996298998}, {1710, 0.0889129996298998}, {1750, 0.0889129996298998}, {1785, 0.11855066617319973}, {1820, 0.0889129996298998}, {1860, 0.0889129996298998}, {1900, 0.0889129996298998}, {1940, 0.0889129996298998}, {1980, 0.0889129996298998}, {2020, 0.0889129996298998}, {2060, 0.0889129996298998}, {2100, 0.0889129996298998}, {2140, 0.0889129996298998}, {2180, 0.0889129996298998}, {2225, 0.07113039970391984}, {2270, 0.0889129996298998}, {2310, 0.0889129996298998}, {2355, 0.07113039970391984}, {2400, 0.0889129996298998}, {2445, 0.07113039970391984}, {2490, 0.0889129996298998}, {2535, 0.07113039970391984}, {2585, 0.07113039970391984}, {2635, 0.07113039970391984}, {2685, 0.07113039970391984}, {2735, 0.07113039970391984}, {2785, 0.07113039970391984}, {2840, 0.059275333086599866}, {2900, 0.059275333086599866}, {2955, 0.07113039970391984}, {3015, 0.05080742835994275}, {3085, 0.05080742835994275}, {3155, 0.05080742835994275}, {3235, 0.039516888724399915}, {3345, 0.02735784603996917}}
0.0475;{{540, 0.0889129996298998}, {580, 0.0889129996298998}, {620, 0.0889129996298998}, {660, 0.0889129996298998}, {700, 0.0889129996298998}, {740, 0.0889129996298998}, {780, 0.0889129996298998}, {820, 0.0889129996298998}, {860, 0.0889129996298998}, {900, 0.0889129996298998}, {935, 0.11855066617319973}, {970, 0.0889129996298998}, {1010, 0.0889129996298998}, {1045, 0.11855066617319973}, {1080, 0.0889129996298998}, {1120, 0.0889129996298998}, {1155, 0.11855066617319973}, {1190, 0.0889129996298998}, {1230, 0.0889129996298998}, {1265, 0.11855066617319973}, {1300, 0.0889129996298998}, {1335, 0.11855066617319973}, {1370, 0.0889129996298998}, {1410, 0.0889129996298998}, {1445, 0.11855066617319973}, {1480, 0.0889129996298998}, {1520, 0.0889129996298998}, {1555, 0.11855066617319973}, {1590, 0.0889129996298998}, {1625, 0.11855066617319973}, {1660, 0.0889129996298998}, {1700, 0.0889129996298998}, {1740, 0.0889129996298998}, {1775, 0.11855066617319973}, {1810, 0.0889129996298998}, {1850, 0.0889129996298998}, {1890, 0.0889129996298998}, {1930, 0.0889129996298998}, {1970, 0.0889129996298998}, {2010, 0.0889129996298998}, {2050, 0.0889129996298998}, {2090, 0.0889129996298998}, {2130, 0.0889129996298998}, {2170, 0.0889129996298998}, {2210, 0.0889129996298998}, {2250, 0.0889129996298998}, {2295, 0.07113039970391984}, {2340, 0.0889129996298998}, {2385, 0.07113039970391984}, {2430, 0.0889129996298998}, {2475, 0.07113039970391984}, {2520, 0.0889129996298998}, {2565, 0.07113039970391984}, {2615, 0.07113039970391984}, {2665, 0.07113039970391984}, {2715, 0.07113039970391984}, {2765, 0.07113039970391984}, {2820, 0.059275333086599866}, {2875, 0.07113039970391984}, {2930, 0.059275333086599866}, {2990, 0.059275333086599866}, {3055, 0.05080742835994275}, {3125, 0.05080742835994275}, {3200, 0.0444564998149499}, {3285, 0.039516888724399915}, {3425, 0.018718526237873644}}
0.048;{{535, 0.07113039970391984}, {580, 0.0889129996298998}, {620, 0.0889129996298998}, {660, 0.0889129996298998}, {700, 0.0889129996298998}, {740, 0.0889129996298998}, {780, 0.0889129996298998}, {820, 0.0889129996298998}, {860, 0.0889129996298998}, {895, 0.11855066617319973}, {930, 0.0889129996298998}, {970, 0.0889129996298998}, {1010, 0.0889129996298998}, {1045, 0.11855066617319973}, {1080, 0.0889129996298998}, {1120, 0.0889129996298998}, {1155, 0.11855066617319973}, {1190, 0.0889129996298998}, {1225, 0.11855066617319973}, {1260, 0.0889129996298998}, {1300, 0.0889129996298998}, {1335, 0.11855066617319973}, {1370, 0.0889129996298998}, {1405, 0.11855066617319973}, {1440, 0.0889129996298998}, {1480, 0.0889129996298998}, {1515, 0.11855066617319973}, {1550, 0.0889129996298998}, {1585, 0.11855066617319973}, {1620, 0.0889129996298998}, {1660, 0.0889129996298998}, {1695, 0.11855066617319973}, {1730, 0.0889129996298998}, {1770, 0.0889129996298998}, {1810, 0.0889129996298998}, {1845, 0.11855066617319973}, {1880, 0.0889129996298998}, {1920, 0.0889129996298998}, {1960, 0.0889129996298998}, {2000, 0.0889129996298998}, {2040, 0.0889129996298998}, {2080, 0.0889129996298998}, {2120, 0.0889129996298998}, {2160, 0.0889129996298998}, {2205, 0.07113039970391984}, {2250, 0.0889129996298998}, {2290, 0.0889129996298998}, {2330, 0.0889129996298998}, {2375, 0.07113039970391984}, {2420, 0.0889129996298998}, {2465, 0.07113039970391984}, {2515, 0.07113039970391984}, {2560, 0.0889129996298998}, {2605, 0.07113039970391984}, {2655, 0.07113039970391984}, {2705, 0.07113039970391984}, {2755, 0.07113039970391984}, {2810, 0.059275333086599866}, {2865, 0.07113039970391984}, {2920, 0.059275333086599866}, {2980, 0.059275333086599866}, {3040, 0.059275333086599866}, {3105, 0.05080742835994275}, {3180, 0.0444564998149499}, {3265, 0.039516888724399915}, {3380, 0.025403714179971375}}
0.0485;{{530, 0.0889129996298998}, {570, 0.0889129996298998}, {610, 0.0889129996298998}, {655, 0.07113039970391984}, {700, 0.0889129996298998}, {740, 0.0889129996298998}, {775, 0.11855066617319973}, {810, 0.0889129996298998}, {850, 0.0889129996298998}, {890, 0.0889129996298998}, {930, 0.0889129996298998}, {965, 0.11855066617319973}, {1000, 0.0889129996298998}, {1040, 0.0889129996298998}, {1075, 0.11855066617319973}, {1110, 0.0889129996298998}, {1150, 0.0889129996298998}, {1185, 0.11855066617319973}, {1220, 0.0889129996298998}, {1255, 0.11855066617319973}, {1290, 0.0889129996298998}, {1325, 0.11855066617319973}, {1360, 0.0889129996298998}, {1395, 0.11855066617319973}, {1430, 0.0889129996298998}, {1470, 0.0889129996298998}, {1505, 0.11855066617319973}, {1540, 0.0889129996298998}, {1575, 0.11855066617319973}, {1610, 0.0889129996298998}, {1650, 0.0889129996298998}, {1685, 0.11855066617319973}, {1720, 0.0889129996298998}, {1760, 0.0889129996298998}, {1795, 0.11855066617319973}, {1830, 0.0889129996298998}, {1870, 0.0889129996298998}, {1910, 0.0889129996298998}, {1950, 0.0889129996298998}, {1990, 0.0889129996298998}, {2030, 0.0889129996298998}, {2070, 0.0889129996298998}, {2110, 0.0889129996298998}, {2150, 0.0889129996298998}, {2190, 0.0889129996298998}, {2230, 0.0889129996298998}, {2275, 0.07113039970391984}, {2320, 0.0889129996298998}, {2360, 0.0889129996298998}, {2405, 0.07113039970391984}, {2450, 0.0889129996298998}, {2495, 0.07113039970391984}, {2540, 0.0889129996298998}, {2585, 0.07113039970391984}, {2635, 0.07113039970391984}, {2685, 0.07113039970391984}, {2735, 0.07113039970391984}, {2785, 0.07113039970391984}, {2840, 0.059275333086599866}, {2895, 0.07113039970391984}, {2950, 0.059275333086599866}, {3015, 0.05080742835994275}, {3080, 0.059275333086599866}, {3145, 0.05080742835994275}, {3220, 0.0444564998149499}, {3315, 0.03233199986541811}}
0.049;{{530, 0.0889129996298998}, {570, 0.0889129996298998}, {610, 0.0889129996298998}, {650, 0.0889129996298998}, {690, 0.0889129996298998}, {730, 0.0889129996298998}, {770, 0.0889129996298998}, {810, 0.0889129996298998}, {850, 0.0889129996298998}, {890, 0.0889129996298998}, {925, 0.11855066617319973}, {960, 0.0889129996298998}, {1000, 0.0889129996298998}, {1035, 0.11855066617319973}, {1070, 0.0889129996298998}, {1110, 0.0889129996298998}, {1145, 0.11855066617319973}, {1180, 0.0889129996298998}, {1215, 0.11855066617319973}, {1250, 0.0889129996298998}, {1285, 0.11855066617319973}, {1320, 0.0889129996298998}, {1355, 0.11855066617319973}, {1390, 0.0889129996298998}, {1425, 0.11855066617319973}, {1460, 0.0889129996298998}, {1495, 0.11855066617319973}, {1530, 0.0889129996298998}, {1570, 0.0889129996298998}, {1605, 0.11855066617319973}, {1640, 0.0889129996298998}, {1675, 0.11855066617319973}, {1710, 0.0889129996298998}, {1750, 0.0889129996298998}, {1785, 0.11855066617319973}, {1820, 0.0889129996298998}, {1860, 0.0889129996298998}, {1900, 0.0889129996298998}, {1940, 0.0889129996298998}, {1980, 0.0889129996298998}, {2020, 0.0889129996298998}, {2060, 0.0889129996298998}, {2100, 0.0889129996298998}, {2140, 0.0889129996298998}, {2180, 0.0889129996298998}, {2220, 0.0889129996298998}, {2260, 0.0889129996298998}, {2305, 0.07113039970391984}, {2350, 0.0889129996298998}, {2390, 0.0889129996298998}, {2435, 0.07113039970391984}, {2480, 0.0889129996298998}, {2525, 0.07113039970391984}, {2575, 0.07113039970391984}, {2625, 0.07113039970391984}, {2675, 0.07113039970391984}, {2725, 0.07113039970391984}, {2775, 0.07113039970391984}, {2825, 0.07113039970391984}, {2880, 0.059275333086599866}, {2935, 0.07113039970391984}, {2990, 0.059275333086599866}, {3055, 0.05080742835994275}, {3120, 0.059275333086599866}, {3190, 0.0444564998149499}, {3275, 0.039516888724399915}, {3380, 0.029637666543299933}}
0.0495;{{530, 0.0889129996298998}, {570, 0.0889129996298998}, {610, 0.0889129996298998}, {650, 0.0889129996298998}, {690, 0.0889129996298998}, {730, 0.0889129996298998}, {770, 0.0889129996298998}, {810, 0.0889129996298998}, {845, 0.11855066617319973}, {880, 0.0889129996298998}, {920, 0.0889129996298998}, {960, 0.0889129996298998}, {995, 0.11855066617319973}, {1030, 0.0889129996298998}, {1065, 0.11855066617319973}, {1100, 0.0889129996298998}, {1135, 0.11855066617319973}, {1170, 0.0889129996298998}, {1205, 0.11855066617319973}, {1240, 0.0889129996298998}, {1275, 0.11855066617319973}, {1310, 0.0889129996298998}, {1345, 0.11855066617319973}, {1380, 0.0889129996298998}, {1415, 0.11855066617319973}, {1450, 0.0889129996298998}, {1485, 0.11855066617319973}, {1520, 0.0889129996298998}, {1560, 0.0889129996298998}, {1595, 0.11855066617319973}, {1630, 0.0889129996298998}, {1665, 0.11855066617319973}, {1700, 0.0889129996298998}, {1740, 0.0889129996298998}, {1775, 0.11855066617319973}, {1810, 0.0889129996298998}, {1850, 0.0889129996298998}, {1890, 0.0889129996298998}, {1925, 0.11855066617319973}, {1960, 0.0889129996298998}, {2000, 0.0889129996298998}, {2040, 0.0889129996298998}, {2080, 0.0889129996298998}, {2120, 0.0889129996298998}, {2160, 0.0889129996298998}, {2205, 0.07113039970391984}, {2250, 0.0889129996298998}, {2290, 0.0889129996298998}, {2330, 0.0889129996298998}, {2375, 0.07113039970391984}, {2420, 0.0889129996298998}, {2465, 0.07113039970391984}, {2510, 0.0889129996298998}, {2555, 0.07113039970391984}, {2605, 0.07113039970391984}, {2655, 0.07113039970391984}, {2705, 0.07113039970391984}, {2755, 0.07113039970391984}, {2805, 0.07113039970391984}, {2860, 0.059275333086599866}, {2915, 0.07113039970391984}, {2970, 0.059275333086599866}, {3030, 0.059275333086599866}, {3095, 0.05080742835994275}, {3165, 0.05080742835994275}, {3245, 0.039516888724399915}, {3345, 0.03233199986541811}}
0.05;{{530, 0.0889129996298998}, {570, 0.0889129996298998}, {610, 0.0889129996298998}, {650, 0.0889129996298998}, {690, 0.0889129996298998}, {730, 0.0889129996298998}, {770, 0.0889129996298998}, {805, 0.11855066617319973}, {840, 0.0889129996298998}, {880, 0.0889129996298998}, {915, 0.11855066617319973}, {950, 0.0889129996298998}, {990, 0.0889129996298998}, {1025, 0.11855066617319973}, {1060, 0.0889129996298998}, {1095, 0.11855066617319973}, {1130, 0.0889129996298998}, {1165, 0.11855066617319973}, {1200, 0.0889129996298998}, {1235, 0.11855066617319973}, {1270, 0.0889129996298998}, {1305, 0.11855066617319973}, {1335, 0.11855066617319973}, {1370, 0.0889129996298998}, {1405, 0.11855066617319973}, {1440, 0.0889129996298998}, {1475, 0.11855066617319973}, {1510, 0.0889129996298998}, {1545, 0.11855066617319973}, {1580, 0.0889129996298998}, {1615, 0.11855066617319973}, {1650, 0.0889129996298998}, {1690, 0.0889129996298998}, {1725, 0.11855066617319973}, {1760, 0.0889129996298998}, {1800, 0.0889129996298998}, {1835, 0.11855066617319973}, {1870, 0.0889129996298998}, {1910, 0.0889129996298998}, {1950, 0.0889129996298998}, {1990, 0.0889129996298998}, {2030, 0.0889129996298998}, {2070, 0.0889129996298998}, {2110, 0.0889129996298998}, {2150, 0.0889129996298998}, {2190, 0.0889129996298998}, {2230, 0.0889129996298998}, {2270, 0.0889129996298998}, {2310, 0.0889129996298998}, {2355, 0.07113039970391984}, {2400, 0.0889129996298998}, {2445, 0.07113039970391984}, {2490, 0.0889129996298998}, {2535, 0.07113039970391984}, {2585, 0.07113039970391984}, {2635, 0.07113039970391984}, {2685, 0.07113039970391984}, {2735, 0.07113039970391984}, {2785, 0.07113039970391984}, {2835, 0.07113039970391984}, {2890, 0.059275333086599866}, {2945, 0.07113039970391984}, {3000, 0.059275333086599866}, {3065, 0.05080742835994275}, {3130, 0.059275333086599866}, {3200, 0.0444564998149499}, {3285, 0.039516888724399915}, {3395, 0.02735784603996917}}
0.0505;{{530, 0.0889129996298998}, {570, 0.0889129996298998}, {610, 0.0889129996298998}, {650, 0.0889129996298998}, {690, 0.0889129996298998}, {725, 0.11855066617319973}, {760, 0.0889129996298998}, {800, 0.0889129996298998}, {840, 0.0889129996298998}, {875, 0.11855066617319973}, {910, 0.0889129996298998}, {945, 0.11855066617319973}, {980, 0.0889129996298998}, {1020, 0.0889129996298998}, {1055, 0.11855066617319973}, {1090, 0.0889129996298998}, {1125, 0.11855066617319973}, {1155, 0.11855066617319973}, {1190, 0.0889129996298998}, {1225, 0.11855066617319973}, {1260, 0.0889129996298998}, {1295, 0.11855066617319973}, {1330, 0.0889129996298998}, {1365, 0.11855066617319973}, {1400, 0.0889129996298998}, {1435, 0.11855066617319973}, {1470, 0.0889129996298998}, {1505, 0.11855066617319973}, {1540, 0.0889129996298998}, {1575, 0.11855066617319973}, {1610, 0.0889129996298998}, {1645, 0.11855066617319973}, {1680, 0.0889129996298998}, {1715, 0.11855066617319973}, {1750, 0.0889129996298998}, {1790, 0.0889129996298998}, {1830, 0.0889129996298998}, {1865, 0.11855066617319973}, {1900, 0.0889129996298998}, {1940, 0.0889129996298998}, {1980, 0.0889129996298998}, {2020, 0.0889129996298998}, {2060, 0.0889129996298998}, {2100, 0.0889129996298998}, {2140, 0.0889129996298998}, {2180, 0.0889129996298998}, {2220, 0.0889129996298998}, {2260, 0.0889129996298998}, {2300, 0.0889129996298998}, {2345, 0.07113039970391984}, {2390, 0.0889129996298998}, {2435, 0.07113039970391984}, {2480, 0.0889129996298998}, {2525, 0.07113039970391984}, {2575, 0.07113039970391984}, {2620, 0.0889129996298998}, {2665, 0.07113039970391984}, {2715, 0.07113039970391984}, {2770, 0.059275333086599866}, {2825, 0.07113039970391984}, {2875, 0.07113039970391984}, {2930, 0.059275333086599866}, {2990, 0.059275333086599866}, {3050, 0.059275333086599866}, {3115, 0.05080742835994275}, {3185, 0.05080742835994275}, {3260, 0.0444564998149499}, {3360, 0.029637666543299933}}
0.051;{{530, 0.0889129996298998}, {570, 0.0889129996298998}, {610, 0.0889129996298998}, {650, 0.0889129996298998}, {685, 0.11855066617319973}, {720, 0.0889129996298998}, {760, 0.0889129996298998}, {800, 0.0889129996298998}, {840, 0.0889129996298998}, {875, 0.11855066617319973}, {910, 0.0889129996298998}, {945, 0.11855066617319973}, {980, 0.0889129996298998}, {1015, 0.11855066617319973}, {1050, 0.0889129996298998}, {1085, 0.11855066617319973}, {1120, 0.0889129996298998}, {1155, 0.11855066617319973}, {1190, 0.0889129996298998}, {1225, 0.11855066617319973}, {1260, 0.0889129996298998}, {1295, 0.11855066617319973}, {1330, 0.0889129996298998}, {1365, 0.11855066617319973}, {1395, 0.11855066617319973}, {1430, 0.0889129996298998}, {1465, 0.11855066617319973}, {1500, 0.0889129996298998}, {1535, 0.11855066617319973}, {1570, 0.0889129996298998}, {1605, 0.11855066617319973}, {1640, 0.0889129996298998}, {1675, 0.11855066617319973}, {1710, 0.0889129996298998}, {1750, 0.0889129996298998}, {1785, 0.11855066617319973}, {1820, 0.0889129996298998}, {1860, 0.0889129996298998}, {1900, 0.0889129996298998}, {1935, 0.11855066617319973}, {1970, 0.0889129996298998}, {2010, 0.0889129996298998}, {2050, 0.0889129996298998}, {2090, 0.0889129996298998}, {2130, 0.0889129996298998}, {2170, 0.0889129996298998}, {2210, 0.0889129996298998}, {2250, 0.0889129996298998}, {2295, 0.07113039970391984}, {2340, 0.0889129996298998}, {2385, 0.07113039970391984}, {2430, 0.0889129996298998}, {2475, 0.07113039970391984}, {2520, 0.0889129996298998}, {2565, 0.07113039970391984}, {2615, 0.07113039970391984}, {2665, 0.07113039970391984}, {2715, 0.07113039970391984}, {2765, 0.07113039970391984}, {2815, 0.07113039970391984}, {2865, 0.07113039970391984}, {2920, 0.059275333086599866}, {2980, 0.059275333086599866}, {3040, 0.059275333086599866}, {3105, 0.05080742835994275}, {3175, 0.05080742835994275}, {3250, 0.0444564998149499}, {3350, 0.029637666543299933}}
