Average Opto-GEF concentration in 1/um^2;distance;Membrane GEF @ illuminated pole @ t=0;Membrane GEF @ non-illuminated pole @ t=0;Cytosol GEF @ illuminated pole @ t=0;Cytosol GEF @ non-illuminated pole @ t=0;Membrane GEF @ illuminated pole @ t=300;Membrane GEF @ non-illuminated pole @ t=300;Cytosol GEF @ illuminated pole @ t=300;Cytosol GEF @ non-illuminated pole @ t=300;Membrane GEF @ illuminated pole @ t=600;Membrane GEF @ non-illuminated pole @ t=600;Cytosol GEF @ illuminated pole @ t=600;Cytosol GEF @ non-illuminated pole @ t=600;Membrane GEF @ illuminated pole @ t=900;Membrane GEF @ non-illuminated pole @ t=900;Cytosol GEF @ illuminated pole @ t=900;Cytosol GEF @ non-illuminated pole @ t=900;Membrane GEF @ illuminated pole @ t=1200;Membrane GEF @ non-illuminated pole @ t=1200;Cytosol GEF @ illuminated pole @ t=1200;Cytosol GEF @ non-illuminated pole @ t=1200;Membrane GEF @ illuminated pole @ t=1500;Membrane GEF @ non-illuminated pole @ t=1500;Cytosol GEF @ illuminated pole @ t=1500;Cytosol GEF @ non-illuminated pole @ t=1500;Membrane GEF @ illuminated pole @ t=1800;Membrane GEF @ non-illuminated pole @ t=1800;Cytosol GEF @ illuminated pole @ t=1800;Cytosol GEF @ non-illuminated pole @ t=1800;Membrane GEF @ illuminated pole @ t=2100;Membrane GEF @ non-illuminated pole @ t=2100;Cytosol GEF @ illuminated pole @ t=2100;Cytosol GEF @ non-illuminated pole @ t=2100;Membrane GEF @ illuminated pole @ t=2400;Membrane GEF @ non-illuminated pole @ t=2400;Cytosol GEF @ illuminated pole @ t=2400;Cytosol GEF @ non-illuminated pole @ t=2400;Membrane GEF @ illuminated pole @ t=2700;Membrane GEF @ non-illuminated pole @ t=2700;Cytosol GEF @ illuminated pole @ t=2700;Cytosol GEF @ non-illuminated pole @ t=2700;Membrane GEF @ illuminated pole @ t=3000;Membrane GEF @ non-illuminated pole @ t=3000;Cytosol GEF @ illuminated pole @ t=3000;Cytosol GEF @ non-illuminated pole @ t=3000;Membrane GEF @ illuminated pole @ t=3300;Membrane GEF @ non-illuminated pole @ t=3300;Cytosol GEF @ illuminated pole @ t=3300;Cytosol GEF @ non-illuminated pole @ t=3300;Membrane GEF @ illuminated pole @ t=3600;Membrane GEF @ non-illuminated pole @ t=3600;Cytosol GEF @ illuminated pole @ t=3600;Cytosol GEF @ non-illuminated pole @ t=3600;Membrane GEF @ illuminated pole @ t=3900;Membrane GEF @ non-illuminated pole @ t=3900;Cytosol GEF @ illuminated pole @ t=3900;Cytosol GEF @ non-illuminated pole @ t=3900;Membrane GEF @ illuminated pole @ t=4200;Membrane GEF @ non-illuminated pole @ t=4200;Cytosol GEF @ illuminated pole @ t=4200;Cytosol GEF @ non-illuminated pole @ t=4200;Membrane GEF @ illuminated pole @ t=4500;Membrane GEF @ non-illuminated pole @ t=4500;Cytosol GEF @ illuminated pole @ t=4500;Cytosol GEF @ non-illuminated pole @ t=4500;Membrane GEF @ illuminated pole @ t=4800;Membrane GEF @ non-illuminated pole @ t=4800;Cytosol GEF @ illuminated pole @ t=4800;Cytosol GEF @ non-illuminated pole @ t=4800;Membrane GEF @ illuminated pole @ t=5100;Membrane GEF @ non-illuminated pole @ t=5100;Cytosol GEF @ illuminated pole @ t=5100;Cytosol GEF @ non-illuminated pole @ t=5100;Membrane GEF @ illuminated pole @ t=5400;Membrane GEF @ non-illuminated pole @ t=5400;Cytosol GEF @ illuminated pole @ t=5400;Cytosol GEF @ non-illuminated pole @ t=5400;Membrane GEF @ illuminated pole @ t=5700;Membrane GEF @ non-illuminated pole @ t=5700;Cytosol GEF @ illuminated pole @ t=5700;Cytosol GEF @ non-illuminated pole @ t=5700;Membrane GEF @ illuminated pole @ t=6000;Membrane GEF @ non-illuminated pole @ t=6000;Cytosol GEF @ illuminated pole @ t=6000;Cytosol GEF @ non-illuminated pole @ t=6000
21.75;0.;1.9926999999999998e-7;9.512800000000001e-9;21.75;21.75;1.2393;0.1976;21.704;21.737;1.3594;0.31309;21.722;21.736;1.2916;0.37094;21.732;21.738;1.1649;0.39058;21.739;21.74;1.0235;0.38601;21.744;21.742;0.88499;0.36662;21.747;21.743;0.75695;0.33881;21.749;21.745;0.64266;0.30706;21.751;21.746;0.54271;0.27426;21.752;21.747;0.45643;0.24226;21.753;21.748;0.38265;0.21211;21.753;21.749;0.31999;0.18442;21.753;21.749;0.26696;0.15934;21.753;21.75;0.22231;0.13698;21.753;21.75;0.18484;0.11724;21.753;21.75;0.15351;0.099974;21.753;21.75;0.12736;0.084989;21.753;21.75;0.10558;0.07206;21.752;21.75;0.087467;0.060952;21.752;21.75;0.072421;0.051448;21.752;21.75
22.5;0.;2.0614e-7;9.840800000000001e-9;22.5;22.5;1.2811;0.20429;22.453;22.487;1.4042;0.32356;22.471;22.486;1.3345;0.38323;22.482;22.487;1.2036;0.40358;22.489;22.489;1.0576;0.39884;22.494;22.491;0.9147;0.37892;22.497;22.493;0.78273;0.35046;22.499;22.495;0.66465;0.31789;22.501;22.496;0.56112;0.28404;22.502;22.497;0.47171;0.25077;22.503;22.498;0.39531;0.2194;22.503;22.499;0.33042;0.1906;22.503;22.499;0.27562;0.16459;22.503;22.5;0.22955;0.1414;22.503;22.5;0.19094;0.12098;22.503;22.5;0.15866;0.10315;22.503;22.5;0.13173;0.087698;22.503;22.5;0.1093;0.074376;22.502;22.5;0.090605;0.06294;22.502;22.5;0.075049;0.053157;22.502;22.5
23.25;0.;2.1301e-7;1.0169e-8;23.25;23.25;1.3439;0.21524;23.201;23.236;1.4739;0.34096;23.219;23.235;1.4011;0.40385;23.231;23.237;1.2643;0.42533;23.238;23.239;1.1115;0.42043;23.243;23.241;0.96136;0.39937;23.247;23.243;0.82266;0.3692;23.249;23.245;0.69868;0.3347;23.251;23.246;0.59008;0.29899;23.252;23.247;0.49626;0.26405;23.253;23.248;0.41598;0.23106;23.253;23.249;0.34779;0.20074;23.253;23.249;0.2902;0.17337;23.253;23.25;0.24174;0.149;23.253;23.25;0.20109;0.12755;23.253;23.25;0.16706;0.1088;23.253;23.25;0.13864;0.092542;23.253;23.25;0.11494;0.078518;23.253;23.25;0.095217;0.066442;23.252;23.25;0.078818;0.056104;23.252;23.25
24.;0.;2.1987999999999998e-7;1.0497000000000001e-8;24.;24.;1.3872;0.22182;23.949;23.986;1.5202;0.35137;23.969;23.985;1.445;0.41619;23.98;23.986;1.304;0.43837;23.988;23.988;1.146;0.43328;23.993;23.991;0.99107;0.41155;23.997;23.993;0.84802;0.38046;23.999;23.994;0.72018;0.34493;24.001;23.996;0.60813;0.30827;24.002;23.997;0.51124;0.27233;24.003;23.998;0.42831;0.23834;24.003;23.999;0.35794;0.20694;24.003;23.999;0.29859;0.17862;24.003;24.;0.24869;0.15351;24.003;24.;0.20681;0.13143;24.003;24.;0.17174;0.11211;24.003;24.;0.14244;0.095303;24.003;24.;0.11805;0.080774;24.003;24.;0.097789;0.068301;24.002;24.;0.080979;0.05765;24.002;24.
24.75;0.;2.2675e-7;1.0825000000000001e-8;24.75;24.75;1.4036;0.22347;24.698;24.736;1.5394;0.35411;24.718;24.735;1.4621;0.41939;24.73;24.736;1.3188;0.44168;24.738;24.738;1.1586;0.43651;24.743;24.741;1.0017;0.4146;24.747;24.743;0.85693;0.38327;24.749;24.744;0.72759;0.34743;24.751;24.746;0.61434;0.31032;24.752;24.747;0.51657;0.27405;24.753;24.748;0.43292;0.23979;24.753;24.749;0.36191;0.20829;24.753;24.749;0.30195;0.17987;24.753;24.749;0.25152;0.15459;24.753;24.75;0.20923;0.13232;24.753;24.75;0.17384;0.11288;24.753;24.75;0.14427;0.096001;24.753;24.75;0.11963;0.081428;24.753;24.75;0.099123;0.068901;24.752;24.75;0.082083;0.058178;24.752;24.75
25.5;41.88790204786391;2.3361999999999997e-7;1.1152999999999999e-8;25.5;25.5;1.4653;0.23423;25.446;25.485;1.6077;0.37118;25.467;25.484;1.5274;0.4396;25.479;25.485;1.3782;0.46299;25.487;25.488;1.2111;0.45759;25.493;25.49;1.0473;0.43463;25.497;25.492;0.89608;0.40181;25.499;25.494;0.76095;0.36436;25.501;25.496;0.64255;0.32549;25.502;25.497;0.54027;0.28741;25.503;25.498;0.45284;0.25159;25.503;25.499;0.37857;0.21867;25.504;25.499;0.31578;0.18888;25.504;25.499;0.26294;0.16229;25.504;25.5;0.21866;0.13885;25.503;25.5;0.18164;0.11839;25.503;25.5;0.15074;0.10065;25.503;25.5;0.12498;0.085357;25.503;25.5;0.10355;0.072219;25.503;25.5;0.085724;0.060977;25.502;25.5
26.25;44.87989505128276;2.4049e-7;1.1480999999999999e-8;26.25;26.25;1.5066;0.24081;26.195;26.234;1.6522;0.38145;26.216;26.233;1.5704;0.45182;26.228;26.235;1.4173;0.47592;26.237;26.237;1.2455;0.47041;26.243;26.24;1.0771;0.44682;26.247;26.242;0.9216;0.41311;26.249;26.244;0.78261;0.37462;26.251;26.246;0.66081;0.33467;26.252;26.247;0.55562;0.29548;26.253;26.248;0.46567;0.25849;26.254;26.249;0.38931;0.22452;26.254;26.249;0.32483;0.19389;26.254;26.249;0.27059;0.16664;26.254;26.25;0.22509;0.14263;26.253;26.25;0.18701;0.12167;26.253;26.25;0.1552;0.10347;26.253;26.25;0.12867;0.087785;26.253;26.25;0.10657;0.074309;26.253;26.25;0.088222;0.062748;26.252;26.25
27.;44.87989505128276;2.4736999999999997e-7;1.1809e-8;27.;27.;1.5484;0.24744;26.943;26.984;1.698;0.39194;26.965;26.983;1.6139;0.46424;26.978;26.985;1.4565;0.489;26.986;26.987;1.2799;0.48333;26.992;26.99;1.1069;0.4591;26.996;26.992;0.94707;0.42447;26.999;26.994;0.80423;0.38493;27.001;26.995;0.67905;0.34381;27.002;26.997;0.57097;0.30354;27.003;26.998;0.47854;0.26554;27.004;26.999;0.4001;0.2306;27.004;26.999;0.33388;0.19911;27.004;26.999;0.2782;0.1711;27.004;27.;0.23146;0.14648;27.004;27.;0.19232;0.12498;27.003;27.;0.15962;0.1063;27.003;27.;0.13237;0.090163;27.003;27.;0.10969;0.076291;27.003;27.;0.090847;0.064419;27.002;27.
27.75;47.87188805470161;2.5424000000000003e-7;1.2137e-8;27.75;27.75;1.5888;0.25333;27.692;27.734;1.74;0.40124;27.714;27.733;1.6535;0.47522;27.727;27.734;1.4921;0.50054;27.736;27.737;1.3111;0.49473;27.742;27.739;1.1337;0.46992;27.746;27.742;0.97001;0.43447;27.749;27.744;0.82368;0.39404;27.751;27.745;0.69543;0.35205;27.753;27.747;0.58462;0.31079;27.753;27.748;0.48998;0.27193;27.754;27.748;0.40969;0.23637;27.754;27.749;0.34177;0.20428;27.754;27.749;0.28453;0.1756;27.754;27.75;0.23656;0.1502;27.754;27.75;0.19649;0.12803;27.753;27.75;0.16306;0.10885;27.753;27.75;0.13517;0.092305;27.753;27.75;0.11197;0.078062;27.753;27.75;0.092715;0.065887;27.752;27.75
28.5;50.863881058120455;2.6111e-7;1.2465e-8;28.5;28.5;1.6388;0.26195;28.44;28.483;1.7969;0.41494;28.463;28.482;1.7081;0.49149;28.477;28.484;1.5416;0.5177;28.486;28.486;1.3547;0.51171;28.492;28.489;1.1716;0.48606;28.496;28.491;1.0037;0.44902;28.499;28.493;0.85276;0.40738;28.501;28.495;0.72022;0.3644;28.503;28.497;0.60541;0.32208;28.503;28.498;0.50701;0.28201;28.504;28.498;0.42356;0.24496;28.504;28.499;0.3532;0.21144;28.504;28.499;0.2941;0.18161;28.504;28.5;0.24459;0.15537;28.504;28.5;0.20317;0.13247;28.504;28.5;0.16858;0.11262;28.503;28.5;0.13974;0.095504;28.503;28.5;0.11576;0.080786;28.503;28.5;0.095854;0.068187;28.503;28.5
29.25;50.863881058120455;2.6798e-7;1.2793e-8;29.25;29.25;1.6639;0.26514;29.189;29.233;1.8231;0.41992;29.212;29.232;1.7326;0.49737;29.226;29.234;1.5634;0.52389;29.236;29.236;1.3737;0.51781;29.242;29.239;1.1878;0.49185;29.246;29.241;1.0162;0.45478;29.249;29.243;0.86284;0.41241;29.251;29.245;0.72847;0.36836;29.253;29.246;0.61246;0.3252;29.253;29.248;0.51327;0.2845;29.254;29.248;0.42909;0.24713;29.254;29.249;0.35801;0.21343;29.254;29.249;0.29821;0.18343;29.254;29.25;0.24804;0.15701;29.254;29.25;0.20606;0.13394;29.254;29.25;0.17099;0.11392;29.253;29.25;0.14175;0.096658;29.253;29.25;0.11741;0.081807;29.253;29.25;0.09718;0.069079;29.253;29.25
30;53.85587406153931;2.7485e-7;1.3121e-8;30.;30.;1.7278;0.27632;29.936;29.982;1.8941;0.4377;29.961;29.981;1.8006;0.51844;29.975;29.983;1.6251;0.54609;29.985;29.986;1.4282;0.53977;29.991;29.988;1.2351;0.5127;29.996;29.991;1.0569;0.47402;29.999;29.993;0.89746;0.42966;30.001;29.995;0.75783;0.38372;30.003;29.996;0.63729;0.33882;30.004;29.997;0.53422;0.29653;30.004;29.998;0.44668;0.25766;30.004;29.999;0.3727;0.22259;30.004;29.999;0.31043;0.19136;30.004;30.;0.2582;0.16384;30.004;30.;0.21447;0.13975;30.004;30.;0.17797;0.11878;30.004;30.;0.14757;0.10068;30.003;30.;0.1223;0.085163;30.003;30.;0.1013;0.071912;30.003;30.
30.75;53.85587406153931;2.8172e-7;1.3449e-8;30.75;30.75;1.7393;0.27669;30.686;30.732;1.9059;0.4382;30.711;30.731;1.8109;0.51901;30.725;30.733;1.6339;0.54668;30.735;30.736;1.4354;0.54033;30.742;30.738;1.2411;0.51323;30.746;30.741;1.0617;0.47455;30.749;30.743;0.90143;0.43028;30.751;30.745;0.76103;0.3843;30.753;30.746;0.63981;0.33928;30.754;30.747;0.53619;0.29679;30.754;30.748;0.44825;0.25776;30.754;30.749;0.37403;0.22257;30.754;30.749;0.3116;0.1913;30.754;30.75;0.2592;0.1638;30.754;30.75;0.21533;0.13975;30.754;30.75;0.1787;0.11885;30.754;30.75;0.14818;0.1008;30.753;30.75;0.12279;0.085288;30.753;30.75;0.10167;0.072015;30.753;30.75
31.5;56.84786706495816;2.8858999999999997e-7;1.3777e-8;31.5;31.5;1.8084;0.28877;31.434;31.481;1.982;0.45739;31.459;31.48;1.8838;0.54176;31.474;31.482;1.7001;0.57065;31.484;31.485;1.4939;0.56403;31.491;31.488;1.2919;0.53575;31.496;31.49;1.1054;0.49533;31.499;31.493;0.93865;0.44926;31.501;31.495;0.79248;0.40152;31.503;31.496;0.66613;0.35463;31.504;31.497;0.55815;0.31024;31.504;31.498;0.4665;0.26936;31.505;31.499;0.38916;0.2325;31.505;31.499;0.32412;0.19981;31.504;31.5;0.26953;0.17107;31.504;31.5;0.22383;0.14593;31.504;31.5;0.18566;0.12406;31.504;31.5;0.15388;0.10516;31.503;31.5;0.12747;0.088927;31.503;31.5;0.10556;0.075065;31.503;31.5
32.25;59.839860068377014;2.9546e-7;1.4105000000000001e-8;32.25;32.25;1.8623;0.29789;32.182;32.231;2.0416;0.47187;32.208;32.23;1.9407;0.55892;32.223;32.232;1.7516;0.58872;32.234;32.234;1.5394;0.58191;32.241;32.237;1.3313;0.55273;32.246;32.24;1.1391;0.51097;32.249;32.243;0.96736;0.46318;32.251;32.244;0.81687;0.41365;32.253;32.246;0.6869;0.36521;32.254;32.247;0.57579;0.31956;32.254;32.248;0.48147;0.27764;32.255;32.249;0.40178;0.23981;32.255;32.249;0.33471;0.20615;32.255;32.25;0.27842;0.17649;32.254;32.25;0.2313;0.15059;32.254;32.25;0.19195;0.12812;32.254;32.25;0.15914;0.10866;32.253;32.25;0.13185;0.091916;32.253;32.25;0.1092;0.077566;32.253;32.25
33.;65.82384607521472;3.0234e-7;1.4433000000000001e-8;33.;33.;1.916;0.30696;32.93;32.98;2.1009;0.48626;32.956;32.979;1.9974;0.57598;32.973;32.981;1.8029;0.60671;32.983;32.984;1.5846;0.59969;32.991;32.987;1.3705;0.56962;32.996;32.99;1.1728;0.52661;32.999;32.992;0.99601;0.47756;33.001;32.994;0.84106;0.42677;33.003;32.996;0.70709;0.37692;33.004;32.997;0.59252;0.3297;33.005;32.998;0.49533;0.28635;33.005;32.999;0.41328;0.24736;33.005;32.999;0.34419;0.21266;33.005;33.;0.28618;0.18202;33.004;33.;0.23764;0.15518;33.004;33.;0.19716;0.13189;33.004;33.;0.16346;0.11181;33.004;33.;0.13544;0.09457;33.003;33.;0.11216;0.079824;33.003;33.
33.75;68.81583907863356;3.0920999999999995e-7;1.4761e-8;33.75;33.75;1.9691;0.3159;33.678;33.73;2.1595;0.50045;33.705;33.728;2.0533;0.5928;33.722;33.73;1.8535;0.62442;33.733;33.733;1.6292;0.6172;33.74;33.737;1.4092;0.58625;33.745;33.74;1.2059;0.54196;33.749;33.742;1.0242;0.49144;33.752;33.744;0.86496;0.43922;33.753;33.746;0.72721;0.38797;33.754;33.747;0.60936;0.33942;33.755;33.748;0.50937;0.29473;33.755;33.749;0.42498;0.25452;33.755;33.749;0.35397;0.21881;33.755;33.75;0.29434;0.18732;33.755;33.75;0.24442;0.15973;33.754;33.75;0.20276;0.13575;33.754;33.75;0.16808;0.11506;33.754;33.75;0.13925;0.097316;33.753;33.75;0.11529;0.082145;33.753;33.75
34.5;68.81583907863356;3.1608e-7;1.5089e-8;34.5;34.5;1.9775;0.31586;34.427;34.48;2.1681;0.50032;34.455;34.478;2.0608;0.59261;34.472;34.48;1.8598;0.62421;34.483;34.483;1.6343;0.61697;34.49;34.487;1.4132;0.58604;34.496;34.49;1.2098;0.54161;34.499;34.492;1.0275;0.49124;34.502;34.494;0.8677;0.43909;34.503;34.496;0.72952;0.38787;34.504;34.497;0.61135;0.33939;34.505;34.498;0.51104;0.29475;34.505;34.499;0.42633;0.25458;34.505;34.499;0.35504;0.21891;34.505;34.5;0.29517;0.18747;34.505;34.5;0.24504;0.1599;34.504;34.5;0.20326;0.13589;34.504;34.5;0.16854;0.11516;34.504;34.5;0.13967;0.097406;34.503;34.5;0.11565;0.08224;34.503;34.5
35.25;77.79181808889012;3.2294999999999996e-7;1.5417000000000002e-8;35.25;35.25;2.0313;0.32496;35.175;35.229;2.2276;0.51475;35.204;35.228;2.1176;0.60972;35.221;35.23;1.9112;0.64224;35.232;35.233;1.6796;0.6348;35.24;35.236;1.4526;0.60297;35.245;35.239;1.2429;0.55742;35.249;35.242;1.0555;0.50535;35.252;35.244;0.89137;0.45139;35.253;35.246;0.74958;0.39861;35.254;35.247;0.62832;0.34886;35.255;35.248;0.52531;0.30304;35.255;35.249;0.4383;0.26169;35.255;35.249;0.36509;0.22495;35.255;35.25;0.30364;0.19262;35.255;35.25;0.25219;0.16433;35.254;35.25;0.20922;0.13972;35.254;35.25;0.17342;0.11845;35.254;35.25;0.14368;0.10019;35.253;35.25;0.11899;0.084579;35.253;35.25
36.;86.76779709914668;3.2981999999999997e-7;1.5745e-8;36.;36.;2.0747;0.33189;35.924;35.978;2.2755;0.52575;35.953;35.977;2.1632;0.62275;35.97;35.979;1.9523;0.65596;35.982;35.983;1.7157;0.64836;35.99;35.986;1.4838;0.61586;35.995;35.989;1.2696;0.56933;35.999;35.992;1.0782;0.51614;36.002;35.994;0.91054;0.46108;36.003;35.996;0.76574;0.40724;36.004;35.997;0.64183;0.35641;36.005;35.998;0.53658;0.30964;36.005;35.999;0.44768;0.26742;36.005;35.999;0.37287;0.22983;36.005;36.;0.31013;0.19672;36.005;36.;0.25762;0.16779;36.005;36.;0.21378;0.1427;36.004;36.;0.17724;0.12103;36.004;36.;0.14683;0.1024;36.004;36.;0.12156;0.086455;36.003;36.
36.75;95.74377610940321;3.3669e-7;1.6073e-8;36.75;36.75;2.1134;0.33785;36.672;36.728;2.3174;0.53517;36.702;36.727;2.2029;0.6339;36.72;36.729;1.9881;0.6677;36.732;36.732;1.7471;0.65997;36.74;36.736;1.5109;0.62687;36.745;36.739;1.2928;0.57951;36.749;36.742;1.0978;0.52535;36.752;36.744;0.92713;0.46932;36.753;36.746;0.77957;0.41458;36.754;36.747;0.65327;0.36289;36.755;36.748;0.54606;0.31525;36.755;36.749;0.45558;0.27221;36.755;36.749;0.37947;0.23387;36.755;36.75;0.31567;0.20012;36.755;36.75;0.26231;0.17066;36.755;36.75;0.21777;0.14511;36.754;36.75;0.18064;0.12307;36.754;36.75;0.14972;0.10414;36.754;36.75;0.124;0.087947;36.753;36.75
37.5;107.71174812307862;3.4356e-7;1.6401e-8;37.5;37.5;2.1364;0.34063;37.421;37.478;2.3421;0.53952;37.452;37.477;2.2258;0.63902;37.47;37.479;2.0084;0.67309;37.481;37.482;1.7647;0.66529;37.49;37.486;1.5259;0.63192;37.495;37.489;1.3055;0.58418;37.499;37.491;1.1085;0.52958;37.502;37.494;0.93606;0.47309;37.503;37.495;0.78707;0.41788;37.504;37.497;0.65937;0.36584;37.505;37.498;0.55075;0.31791;37.505;37.499;0.45898;0.27451;37.505;37.499;0.38179;0.2358;37.505;37.5;0.31734;0.20164;37.505;37.5;0.26361;0.17183;37.505;37.5;0.21882;0.14602;37.504;37.5;0.18148;0.12381;37.504;37.5;0.15043;0.10475;37.504;37.5;0.12462;0.088441;37.503;37.5
38.25;116.68772713333519;3.5043e-7;1.6729e-8;38.25;38.25;2.1818;0.34792;38.17;38.227;2.3915;0.55106;38.201;38.226;2.2728;0.65269;38.219;38.228;2.0509;0.68749;38.231;38.232;1.8021;0.67952;38.239;38.235;1.5582;0.64544;38.245;38.239;1.3331;0.59667;38.249;38.241;1.132;0.54091;38.252;38.244;0.95591;0.4832;38.253;38.245;0.80462;0.4269;38.255;38.247;0.67434;0.37379;38.255;38.248;0.5634;0.32488;38.255;38.249;0.46953;0.2806;38.255;38.249;0.3907;0.24107;38.255;38.25;0.32481;0.20623;38.255;38.25;0.2698;0.1758;38.255;38.25;0.22391;0.14943;38.254;38.25;0.18567;0.12669;38.254;38.25;0.15381;0.10719;38.254;38.25;0.12733;0.090493;38.253;38.25
39.;134.63968515384826;3.5731e-7;1.7057000000000002e-8;39.;39.;2.2361;0.35712;38.918;38.977;2.4516;0.56566;38.949;38.976;2.3302;0.67001;38.968;38.978;2.1029;0.70573;38.98;38.981;1.8479;0.69755;38.989;38.985;1.598;0.66257;38.995;38.988;1.3672;0.61251;38.999;38.991;1.161;0.55527;39.002;38.993;0.98046;0.49603;39.004;38.995;0.8245;0.4381;39.005;38.997;0.691;0.38349;39.005;38.998;0.57736;0.33326;39.006;38.999;0.4813;0.28781;39.006;38.999;0.40057;0.24726;39.005;39.;0.33308;0.2115;39.005;39.;0.27671;0.18029;39.005;39.;0.22965;0.15327;39.005;39.;0.19046;0.12997;39.004;39.;0.15783;0.10995;39.004;39.;0.13067;0.092819;39.003;39.
39.75;146.60765716752368;3.6417999999999997e-7;1.7385e-8;39.75;39.75;2.2909;0.36641;39.666;39.726;2.5122;0.58042;39.698;39.725;2.3881;0.6875;39.717;39.727;2.1553;0.72416;39.73;39.731;1.8941;0.71577;39.739;39.734;1.638;0.67988;39.745;39.738;1.4016;0.62852;39.749;39.741;1.1903;0.56978;39.752;39.743;1.0052;0.509;39.754;39.745;0.84537;0.44955;39.755;39.747;0.70855;0.3935;39.755;39.748;0.59213;0.34194;39.756;39.749;0.49357;0.29533;39.756;39.749;0.41068;0.25373;39.756;39.75;0.34137;0.21706;39.755;39.75;0.28353;0.18504;39.755;39.75;0.23531;0.15727;39.755;39.75;0.19513;0.13333;39.754;39.75;0.16167;0.11279;39.754;39.75;0.13384;0.095217;39.754;39.75
40.5;146.60765716752368;3.7105e-7;1.7714000000000002e-8;40.5;40.5;2.2956;0.36592;40.416;40.476;2.5163;0.57955;40.448;40.475;2.3913;0.68643;40.467;40.477;2.1578;0.72302;40.48;40.481;1.8959;0.71464;40.489;40.485;1.6393;0.6788;40.495;40.488;1.4025;0.62751;40.499;40.491;1.1909;0.56886;40.502;40.493;1.0056;0.50818;40.504;40.495;0.8456;0.44883;40.505;40.497;0.70867;0.39287;40.505;40.498;0.59226;0.34138;40.506;40.499;0.49376;0.29485;40.506;40.499;0.41095;0.25334;40.506;40.5;0.34167;0.21674;40.505;40.5;0.28384;0.18479;40.505;40.5;0.23559;0.1571;40.505;40.5;0.19528;0.13324;40.504;40.5;0.16165;0.11273;40.504;40.5;0.13367;0.095143;40.504;40.5
41.25;158.57562918119908;3.7792e-7;1.8042e-8;41.25;41.25;2.3623;0.37756;41.163;41.226;2.5899;0.59805;41.196;41.224;2.4618;0.70838;41.216;41.227;2.2218;0.74615;41.229;41.23;1.9525;0.73751;41.238;41.234;1.6885;0.70052;41.245;41.238;1.4447;0.6476;41.249;41.241;1.2268;0.58708;41.252;41.243;1.0361;0.52445;41.254;41.245;0.87131;0.4632;41.255;41.247;0.73032;0.40543;41.256;41.248;0.61043;0.3523;41.256;41.249;0.50895;0.30429;41.256;41.249;0.42349;0.26145;41.256;41.25;0.35198;0.22367;41.256;41.25;0.29237;0.19065;41.255;41.25;0.24268;0.16203;41.255;41.25;0.20124;0.13739;41.254;41.25;0.16679;0.11623;41.254;41.25;0.13814;0.098134;41.254;41.25
42.;170.54360119487447;3.8479e-7;1.837e-8;42.;42.;2.4295;0.3894;41.911;41.975;2.6644;0.61688;41.945;41.973;2.5332;0.7307;41.965;41.976;2.2866;0.76968;41.979;41.98;2.0098;0.76077;41.988;41.984;1.7383;0.72262;41.994;41.987;1.4875;0.66803;41.999;41.99;1.2633;0.6056;42.002;41.993;1.067;0.541;42.004;41.995;0.8974;0.47782;42.005;41.996;0.75226;0.41822;42.006;41.998;0.62888;0.36341;42.006;41.999;0.52436;0.31388;42.006;41.999;0.43638;0.26971;42.006;42.;0.36263;0.23074;42.006;42.;0.30115;0.1967;42.005;42.;0.24992;0.16718;42.005;42.;0.20726;0.14173;42.005;42.;0.17175;0.11989;42.004;42.;0.1422;0.10121;42.004;42.
42.75;176.52758720171218;3.9165999999999995e-7;1.8698e-8;42.75;42.75;2.4509;0.3918;42.66;42.725;2.687;0.62062;42.694;42.723;2.5542;0.73511;42.715;42.726;2.3052;0.77431;42.729;42.729;2.0258;0.76534;42.738;42.733;1.7519;0.72696;42.744;42.737;1.499;0.67204;42.749;42.74;1.273;0.60923;42.752;42.743;1.075;0.54424;42.754;42.745;0.90408;0.48068;42.755;42.746;0.7578;0.42073;42.756;42.748;0.63353;0.36558;42.756;42.749;0.52852;0.31576;42.756;42.749;0.44018;0.27137;42.756;42.75;0.36611;0.23223;42.756;42.75;0.30418;0.19803;42.755;42.75;0.25249;0.16837;42.755;42.75;0.20942;0.14278;42.755;42.75;0.17357;0.1208;42.754;42.75;0.14376;0.10201;42.754;42.75
43.5;185.50356621196875;3.9853e-7;1.9026e-8;43.5;43.5;2.5118;0.40211;43.408;43.474;2.7538;0.637;43.443;43.472;2.618;0.75453;43.464;43.475;2.363;0.79478;43.478;43.479;2.0768;0.78558;43.488;43.483;1.7962;0.74619;43.494;43.487;1.537;0.68981;43.499;43.49;1.3053;0.62535;43.502;43.493;1.1024;0.55864;43.504;43.495;0.92716;0.4934;43.505;43.496;0.77718;0.43186;43.506;43.498;0.64973;0.37526;43.506;43.498;0.54185;0.32412;43.506;43.499;0.45102;0.27852;43.506;43.5;0.37491;0.2383;43.506;43.5;0.31143;0.20315;43.505;43.5;0.25852;0.1727;43.505;43.5;0.21438;0.14646;43.505;43.5;0.17753;0.12391;43.504;43.5;0.14686;0.1046;43.504;43.5
